subject,awareness,variance_mean,peak_to_peak_mean
10,Seen,3.75724334098234e-11,2.7274894983166492e-05
10,Seen,2.8054120402540992e-11,2.5097802812829236e-05
10,Unseen,4.9967689881002787e-11,3.5000297459242266e-05
10,Unseen,3.870174735461212e-11,3.0626394652426286e-05
10,Seen,3.980909950688714e-11,2.989436768564417e-05
10,Seen,3.155509513669831e-11,2.7612229095409756e-05
10,Seen,3.388732782319048e-11,2.830443013447095e-05
10,Seen,3.46580460940299e-11,2.9354291845454122e-05
10,Seen,4.790688300943342e-11,3.302674657558916e-05
10,Seen,3.858019027072168e-11,2.904103490719152e-05
10,Unseen,4.7836731709999305e-11,3.387407346684066e-05
10,Seen,7.160887305369001e-11,3.7810887665264385e-05
10,Seen,7.351491339944362e-11,4.075224417623915e-05
10,Seen,4.382220968541532e-11,3.072158521683585e-05
10,Unseen,4.012001684473276e-11,3.0097334860371833e-05
10,Seen,3.230156355067491e-11,2.7007783240521083e-05
10,Seen,5.534880400410309e-11,3.422507431980511e-05
10,Seen,3.4684444034164844e-11,2.769146371959208e-05
10,Seen,7.609585847368705e-11,4.1151798929743826e-05
10,Seen,6.691990804705988e-11,4.2524256344619185e-05
10,Seen,3.977853075560772e-11,2.8894139221988946e-05
10,Unseen,3.461282627191925e-11,2.8250896208730748e-05
10,Seen,3.730537512679241e-11,3.0170804595485067e-05
10,Seen,3.3527863788924304e-11,2.896419394799961e-05
10,Seen,5.42759666573061e-11,3.505147420584065e-05
10,Unseen,5.7485411980612755e-11,3.5553997362486934e-05
10,Unseen,4.140005007742707e-11,2.9799658948458418e-05
10,Seen,3.909501390510011e-11,3.094014149889946e-05
10,Seen,4.1764586814155695e-11,3.133407191140657e-05
10,Unseen,9.041805030185264e-11,4.8717014468582577e-05
10,Seen,4.142256258051522e-11,3.008390266882293e-05
10,Seen,3.597759084995301e-11,2.9376477522733803e-05
10,Seen,5.226841956502897e-11,3.3614762895505185e-05
10,Seen,4.8016019900181546e-11,3.159066201303476e-05
10,Unseen,3.271744945622791e-11,2.7113873735976527e-05
10,Unseen,9.166563659495422e-11,4.908162763128562e-05
10,Seen,4.132199110123771e-11,3.061351697185684e-05
10,Seen,4.994029053936134e-11,3.1766311040282506e-05
10,Seen,4.6079119052556955e-11,3.184891178975746e-05
10,Seen,4.8119230435184237e-11,3.406458233856906e-05
10,Unseen,3.899474515482925e-11,2.945326407851959e-05
10,Seen,5.869169877905617e-11,3.572720056542003e-05
10,Seen,6.694364183535389e-11,3.7975685553235194e-05
10,Seen,9.138172184834711e-11,4.310840633712126e-05
10,Seen,6.968553168450273e-11,3.9963604442087585e-05
10,Unseen,3.570482814982159e-11,3.1802742179722246e-05
10,Seen,9.876453099606398e-11,4.58558419705958e-05
10,Seen,4.085066613003898e-11,3.070825908089635e-05
10,Seen,4.107698839610222e-11,3.073971880714939e-05
10,Seen,6.330290691478143e-11,3.6575718471780254e-05
10,Seen,7.242874008333449e-11,3.7013348740506375e-05
10,Unseen,2.8529633161658026e-11,2.628023339754459e-05
10,Unseen,4.647808667271504e-11,3.286838600367513e-05
10,Seen,4.754600806755773e-11,3.0222637411913344e-05
10,Seen,3.334484422500779e-11,2.821599363186163e-05
10,Seen,4.5098081736417194e-11,3.309983478912066e-05
10,Seen,3.926113779863024e-11,2.9000099831447705e-05
10,Unseen,3.6057701350192864e-11,2.840715476714766e-05
10,Seen,5.342068332751807e-11,3.336991496258028e-05
10,Unseen,3.434285076943156e-11,2.8059038986184493e-05
10,Unseen,3.232637298120539e-11,2.8406583021218426e-05
10,Seen,5.0566546633970146e-11,3.189045665409748e-05
10,Seen,3.8658388865479035e-11,3.1026732359143054e-05
10,Seen,7.712011259707956e-11,4.126915236889685e-05
10,Seen,3.892650211484744e-11,2.922130708186183e-05
10,Seen,3.8977665777084745e-11,3.055134370933772e-05
10,Unseen,4.1865229322532066e-11,3.0329982768146346e-05
10,Seen,4.4983851498876113e-11,3.114283157786618e-05
12,Unseen,7.745483132000431e-11,3.356417719014376e-05
12,Seen,3.912945169197541e-11,2.654434244862781e-05
12,Seen,4.900687056590817e-11,2.9506653793349583e-05
12,Seen,3.567850307736842e-11,2.6143046712083048e-05
12,Seen,4.62528445457619e-11,3.0280325308657844e-05
12,Seen,6.039486909156572e-11,3.358406576170112e-05
12,Seen,4.122972608885936e-11,2.702894636927635e-05
12,Seen,3.433111396412098e-11,2.620374682605342e-05
12,Seen,3.1236601766625715e-11,2.553818901337874e-05
12,Seen,4.0655367876738075e-11,2.814734522961912e-05
12,Seen,3.0891953259487494e-11,2.5527909357875277e-05
12,Unseen,1.246852281219703e-10,3.603886478583436e-05
12,Unseen,3.729696581906934e-11,2.557568223658751e-05
12,Unseen,3.434887038994249e-11,2.7523546826800238e-05
12,Seen,4.071771611051023e-11,2.7084406097590685e-05
12,Seen,5.890024806270992e-11,3.3812741901730386e-05
12,Seen,4.1026923822151465e-11,2.8743298391458778e-05
12,Seen,5.226402438318038e-11,3.160250325583903e-05
12,Unseen,2.6480333574351172e-11,2.3389936376847025e-05
12,Unseen,3.266920753337641e-11,2.818001636254374e-05
12,Seen,4.701286957236121e-11,2.9899264046630534e-05
12,Seen,3.569895862465213e-11,2.6644013523110953e-05
12,Unseen,2.8596491167917943e-11,2.484414110855832e-05
12,Seen,3.929608893916412e-11,2.7470418729618886e-05
12,Seen,3.106631366823343e-11,2.4433473002457902e-05
12,Seen,4.601214922078977e-11,2.9960846787031216e-05
12,Unseen,3.778906788457089e-11,2.7707758385101877e-05
12,Seen,3.891261470864117e-11,2.7269497877661414e-05
12,Seen,4.9248132818087654e-11,2.8318685894749877e-05
12,Seen,9.184469139803478e-11,3.2108618492037924e-05
12,Seen,3.476755065638048e-11,2.6054140351880276e-05
12,Unseen,2.5574372418384767e-11,2.4526706020079414e-05
12,Unseen,1.9285280827154286e-11,2.061701610209457e-05
12,Seen,2.937214541415486e-11,2.4121758155542536e-05
12,Seen,6.016634297317884e-11,3.0123922965691924e-05
12,Seen,3.869573260120809e-11,2.7784712729520046e-05
12,Unseen,3.842011876325013e-11,2.7869714997555645e-05
12,Seen,3.4328881459163137e-11,2.4856279339444442e-05
12,Unseen,2.651543340820257e-11,2.3914151353572858e-05
12,Unseen,3.85944127996054e-11,2.7316541562504345e-05
12,Unseen,5.2001937909332974e-11,3.497127947598297e-05
12,Seen,8.649166415621148e-11,3.8374359386067816e-05
12,Seen,5.2810642312794993e-11,2.935367728151369e-05
12,Seen,7.945693619761158e-11,3.0438447522262245e-05
12,Seen,3.4894808652061066e-11,2.734869210872845e-05
12,Seen,4.1605075620301616e-11,2.681157016197475e-05
12,Unseen,3.340409788255722e-11,2.6414858896821586e-05
12,Unseen,1.9449913912964822e-11,2.0800725375712476e-05
12,Seen,8.331291937090905e-11,4.012860534175089e-05
12,Seen,2.857442575430838e-11,2.4132711544156636e-05
12,Seen,5.120814542395819e-11,3.136259778893113e-05
12,Unseen,2.995931060537145e-11,2.5721317053321385e-05
12,Unseen,2.496790393802489e-11,2.3318269058484496e-05
12,Seen,4.420717694998332e-11,2.8240082501856547e-05
12,Unseen,2.906336496122323e-11,2.44758514729236e-05
12,Seen,5.152630615986376e-11,3.117514702417459e-05
12,Unseen,4.877005450743804e-11,3.16867937409343e-05
12,Seen,7.82002734511006e-11,3.4084624460693307e-05
12,Seen,1.0870732952366731e-10,3.303576031822984e-05
12,Unseen,5.365975900838628e-11,3.056733738727889e-05
12,Unseen,3.3082000475421225e-11,2.706927477650713e-05
12,Unseen,4.029828208873202e-11,2.8939880913351662e-05
12,Seen,4.1151574245886984e-11,2.89914897420462e-05
12,Seen,6.320899444681718e-11,3.350898785363758e-05
12,Unseen,4.536986793362601e-11,3.0447154786209957e-05
12,Unseen,2.827825510142804e-11,2.5485611277093783e-05
12,Seen,8.980897156936962e-11,4.1741899918259336e-05
12,Seen,4.1133011983227994e-11,2.9087821965372825e-05
12,Unseen,6.030553643242029e-11,3.1797927759866396e-05
12,Seen,6.029507498445266e-11,2.825089829451637e-05
12,Seen,2.4777493052005024e-11,2.2305876462453816e-05
12,Unseen,2.227652196479611e-11,2.3749001421052623e-05
12,Seen,4.553134856157443e-11,3.0099680082776204e-05
12,Seen,5.318814153325957e-11,3.270177389478224e-05
