subject,trial_index,awareness,perm_entropy,lz_complexity,variance
10,62,Unseen,0.9790154244244577,0.8240331842927014,3.680467555071962e-11
10,64,Unseen,0.9801466651423754,0.9559622582709486,4.751768362184348e-11
10,65,Seen,0.9853593657789805,0.931879966989205,2.8945030244871667e-11
10,66,Seen,0.9846760513842879,0.9444446407014191,2.7039840606018508e-11
10,67,Seen,0.9846618325376213,0.9611975389843713,2.64154722646736e-11
10,68,Seen,0.9798905379035632,0.860680149286659,3.98201158006447e-11
10,71,Seen,0.9812670415619416,0.9591034266990022,3.1155738606114876e-11
10,72,Seen,0.975291401880201,0.8868565528537715,2.9440130228238817e-11
10,75,Unseen,0.9880687782662333,1.08893838839188,6.039144773907378e-11
10,76,Unseen,0.9830295239640675,1.0449620303991314,2.8039369926707616e-11
10,77,Seen,0.9842317111632074,0.9392093599879966,3.1525655521722315e-11
10,78,Unseen,0.9798834587058375,0.9308329108465208,3.934041691825703e-11
10,81,Seen,0.9783983619433174,0.9632916512697401,2.798257924292868e-11
10,82,Seen,0.9815223006296548,1.0104091776905426,2.2487433567433424e-11
10,83,Seen,0.984045801082136,0.9632916512697401,1.984171415160515e-11
10,84,Seen,0.9818889698498081,0.9716681004112162,2.3651905293222026e-11
10,85,Seen,0.9823348123422017,0.9402564161306812,2.8307360766903045e-11
10,88,Seen,0.9797327868081168,0.9978445039783286,2.0943979232175158e-11
10,89,Seen,0.9861217561959051,1.0030797846917512,3.089286153431801e-11
10,91,Seen,0.9843395872778736,0.9182682371343066,2.910748586923801e-11
10,92,Unseen,0.9831509244924709,0.9339740792745742,7.060307001876567e-11
10,94,Unseen,0.9845063020503936,0.9088447318501461,5.3455931780319415e-11
10,95,Unseen,0.9874475187501562,1.0135503461185962,4.04085301228102e-11
10,96,Seen,0.9836251659520294,0.9779504372673232,3.684820001674439e-11
10,98,Unseen,0.9852014451821652,0.9444446407014192,4.8686058688907177e-11
10,99,Unseen,0.982475891639189,0.9664328196977936,5.312850473964542e-11
10,101,Seen,0.9831590437025821,0.9109388441355152,1.794713998414801e-10
10,102,Seen,0.9867861755676595,1.0166915145466497,3.2190836665412466e-11
10,103,Unseen,0.9860492931030399,0.9894680548368526,3.554902886817325e-11
10,104,Seen,0.9850810240016818,1.0460090865418157,3.1552925695262675e-11
10,106,Seen,0.9853046295836647,1.0114562338332271,3.7014775824006404e-11
10,110,Seen,0.9859780914158771,1.0428679181137623,3.559897767784223e-11
10,111,Unseen,0.980917161148276,0.8721977668561887,5.7438845729110095e-11
10,112,Unseen,0.98507914495164,0.9758563249819542,4.137542771642213e-11
10,113,Seen,0.9813151142964858,0.9748092688392697,3.200421609893491e-11
10,115,Seen,0.9844466116259584,0.9695739881258472,3.4135681043554044e-11
10,117,Seen,0.9845243246620495,0.9423505284160502,4.547823521601328e-11
10,118,Unseen,0.984108362636074,0.9203623494196757,4.4502081652165545e-11
10,119,Unseen,0.9797906389257202,0.9769033811246387,3.719687810070939e-11
10,120,Unseen,0.9652639714882756,0.8187979035792791,2.834221489051269e-11
10,121,Unseen,0.9699076397860734,0.7486451420194175,6.703918607547723e-10
10,122,Seen,0.9648156798517536,0.776915657871899,3.7603885797146084e-11
10,125,Seen,0.9867691871842359,1.0261150198308102,5.548588129858665e-10
10,127,Unseen,0.985007677746308,0.9653857635551091,3.4434021803119136e-11
10,129,Unseen,0.9848322410995464,1.046009086541816,2.6320028978416955e-11
10,130,Unseen,0.9852573997046148,1.0166915145466497,2.553267895673052e-11
10,131,Seen,0.9866969852308848,0.9863268864087992,2.5671532096135466e-11
10,133,Unseen,0.9852752283663945,0.9873739425514836,2.5366533075225302e-11
10,135,Seen,0.9873057543129496,0.9475858091294727,2.921825815212425e-11
10,136,Seen,0.9862175046241093,0.9748092688392697,3.069070853024141e-11
10,137,Seen,0.9864728987131426,1.0083150654051736,4.019037042518101e-11
10,139,Seen,0.9875418086294857,0.9957503916929596,2.2836428829259203e-11
10,140,Seen,0.9839422927398843,0.9360681915599431,2.945287195631123e-11
10,142,Seen,0.9865042723361573,0.9884209986941682,2.385448730815693e-11
10,143,Unseen,0.9856691338329902,0.8826683282830337,3.109795973605832e-11
10,145,Seen,0.9835164529387588,0.9423505284160502,2.8724066442900776e-11
10,147,Unseen,0.9854279701092818,1.0219267952600721,2.2640041634744042e-11
10,148,Seen,0.9824986324654121,0.9559622582709485,2.540573396749531e-11
10,149,Seen,0.9830463945437699,0.9329270231318896,2.540451450605318e-11
10,152,Seen,0.984039006588011,0.9863268864087991,1.957912871174649e-11
10,153,Seen,0.9845544411650846,0.9036094511367236,2.472044158093303e-11
10,154,Seen,0.9817949756227183,0.9392093599879966,2.4657662819444202e-11
10,155,Seen,0.982467693404307,0.8847624405684026,2.660789008104315e-11
10,157,Unseen,0.9799702645475147,0.9057035634220927,2.3869417046742684e-11
10,158,Seen,0.9799024075520019,0.9674798758404781,2.076263816186366e-11
10,160,Unseen,0.9714369187773507,0.8167037912939101,4.113260953747552e-11
10,161,Seen,0.9783329689149781,0.9433975845587347,2.290532920950137e-11
10,164,Seen,0.9846762182293531,0.9004682827086701,3.438185799060244e-10
10,165,Seen,0.9836011373683755,0.9611975389843711,2.7711111000944765e-11
10,166,Unseen,0.982441972672208,0.8826683282830335,6.445077476064814e-11
10,167,Seen,0.9806242681045216,0.8983741704233013,3.169447557320635e-11
10,169,Seen,0.9801919411976528,0.9538681459855797,2.722516449000079e-11
10,171,Unseen,0.9840425501784649,0.9674798758404781,2.6384347643626826e-11
10,172,Unseen,0.9836221294703715,0.9601504828416867,3.3685299539493085e-10
10,173,Seen,0.9779660088041081,0.9664328196977938,2.593395066600929e-10
10,175,Seen,0.9764648426967424,0.9915621671222217,3.031459369635301e-10
10,177,Seen,0.9818447564652559,0.9800445495526922,2.974072521737141e-10
10,178,Seen,0.9818174443864115,0.9507269775575262,2.711085496988736e-10
10,179,Unseen,0.9839200255457979,0.9486328652721571,3.09685695031873e-11
10,180,Seen,0.9668317641530735,0.8711507107135041,1.5709041265300428e-11
10,181,Unseen,0.9619795221268272,0.8219390720073325,1.8689613936114314e-11
10,183,Unseen,0.9671113368553699,0.7968097245829046,1.7532280344235827e-11
10,184,Seen,0.9721060713512412,0.8135626228658565,1.9915292130412724e-11
10,187,Seen,0.9747472424359616,0.843927251003707,4.283016218746364e-11
10,189,Seen,0.9783924165498831,0.8365978580049155,3.7568837403307634e-10
10,190,Unseen,0.954722671623262,0.6868688296010319,4.884331824677026e-10
10,191,Seen,0.9680796828516224,0.8596330931439745,1.9588141431898065e-11
10,192,Seen,0.9710117027875342,0.8470684194317606,2.115880966898524e-11
10,193,Unseen,0.9758717559332083,0.8072802860097497,4.727043144583442e-10
10,195,Seen,0.9684593983911262,0.785292107013375,2.9617211750864615e-10
10,196,Unseen,0.978004952913974,0.7643509841596849,2.3122521467157917e-11
10,198,Unseen,0.9644155763136348,0.822986128150017,2.428413877683074e-11
10,201,Unseen,0.9714715193325669,0.9381623038453123,4.0477235437932155e-10
10,202,Unseen,0.9836154016374945,1.028209132116179,4.304147778812065e-10
10,203,Unseen,0.9817065963932461,0.850209587859814,2.377059558017556e-11
10,204,Unseen,0.9752258633209242,0.9004682827086701,1.87983050062122e-11
10,206,Seen,0.9779264689168662,0.9140800125635686,2.845142736745899e-10
10,208,Unseen,0.983709997796686,0.9737622126965851,5.581953793332892e-10
10,209,Unseen,0.9848501653221923,0.9423505284160502,3.009217242403189e-11
10,210,Unseen,0.9830181991813303,0.9287387985611517,3.1609154885835425e-11
10,211,Seen,0.9820273991332135,0.9810916056953767,3.9156778256992165e-10
10,212,Seen,0.9853695057118209,0.9685269319831626,2.40328333342252e-11
10,214,Unseen,0.9804821241653834,0.954915202128264,2.6504150498805135e-11
10,216,Unseen,0.9835047436721273,0.9496799214148417,2.8849873238924067e-11
10,217,Seen,0.976345852264444,0.8596330931439744,3.740485988056372e-11
10,218,Unseen,0.979970295931607,0.9486328652721571,2.875973521787126e-11
10,219,Seen,0.9869097483686361,0.9894680548368527,2.3493734487117064e-11
