subject,block,awareness,perm_entropy,lz_complexity
10,experimental,Seen,0.9824137159895086,0.9266939168835366
10,experimental,Unseen,0.9767521942864102,0.9357918936271336
10,experimental,Unseen,0.9805794715918071,1.0904574982682849
10,experimental,Unseen,0.9753439045712556,0.9916794650520876
10,experimental,Unseen,0.9762614199149503,1.0033768637224267
10,experimental,Unseen,0.9738693151176612,1.0033768637224267
10,experimental,Seen,0.9779169848199247,1.1333479600595289
10,experimental,Seen,0.9520289439581823,0.825316461740597
10,experimental,Unseen,0.959848272859695,0.9071982524329711
10,experimental,Seen,0.9583032602514092,0.8929014318358901
10,experimental,Seen,0.9703283949231093,0.8435124152277915
10,experimental,Seen,0.9732918164372025,1.0553653022572673
10,experimental,Seen,0.9726042671016542,0.9747832225282641
10,experimental,Seen,0.9456248757327295,0.7707286012790142
10,experimental,Seen,0.9764481985210133,0.8643077906417277
10,experimental,Unseen,0.9725253204959549,0.9461895813341019
10,experimental,Seen,0.9548226765227849,0.8721060564219539
10,experimental,Unseen,0.9715149157779421,0.9708840896381511
10,experimental,Unseen,0.9649883261503449,0.9318927607370205
10,experimental,Seen,0.9765430498827521,0.9305930497736496
10,experimental,Seen,0.9592466163337209,0.8539101029347597
10,experimental,Seen,0.971091699958597,0.9864806211986034
10,experimental,Seen,0.9744187387416667,0.9877803321619745
10,experimental,Seen,0.9703663196210883,0.8981002756893741
10,experimental,Seen,0.9781314474579708,0.95658726904107
10,experimental,Unseen,0.966734328995511,0.8630080796783567
10,experimental,Seen,0.9806626965577983,0.9448898703707309
10,experimental,Seen,0.9798753611288318,1.029371082989847
10,experimental,Unseen,0.980371730988659,1.0033768637224267
10,experimental,Seen,0.9710619890782368,0.8435124152277914
10,experimental,Unseen,0.9778901691547199,1.038469059733444
10,experimental,Seen,0.9845780058930698,1.1086534517554794
10,experimental,Seen,0.9736331216209619,1.037169348770073
10,experimental,Seen,0.9863165438993493,1.089157787304914
10,experimental,Seen,0.9830871739017742,0.9838811992718616
10,experimental,Seen,0.9808872289044587,1.0410684816601863
10,experimental,Seen,0.9797049577661079,1.0618638570741226
10,experimental,Unseen,0.9780553147180058,1.031970504916589
10,experimental,Unseen,0.9836954810844953,1.0696621228543484
10,experimental,Unseen,0.979188584124683,1.029371082989847
10,experimental,Unseen,0.9820289219694941,1.04626732551367
10,experimental,Unseen,0.9777226335693264,1.1047543188653661
10,experimental,Unseen,0.9731400405938876,1.0462673255136703
10,experimental,Seen,0.9771567744219675,0.9279936278469074
