subject,trial_index,event_name,awareness,perm_entropy_mean,lz_complexity_mean
10,101,Present/Seen/Right,Seen,0.9860768559532693,0.8722394497557062
10,102,Present/Seen/Left,Seen,0.9875317300293894,0.8906485235696457
10,103,Present/Unseen/Right,Unseen,0.989641779444504,1.0151289274543795
10,104,Present/Seen/Left,Seen,0.9862689579838166,0.9353562742606416
10,106,Present/Seen/Right,Seen,0.9871781154348451,1.0466873397068475
10,110,Present/Seen/Left,Seen,0.9875800361084434,0.8915251461322142
10,111,Present/Unseen/Right,Unseen,0.9836309718192588,0.9599017060125612
10,112,Present/Unseen/Left,Unseen,0.9885742014253461,1.00285621157842
10,113,Present/Seen/Right,Seen,0.9829604038956543,0.8932783912573512
10,115,Present/Seen/Right,Seen,0.9826717725489305,0.7959732868122423
10,117,Present/Seen/Right,Seen,0.9824762779657725,0.9178238230092708
10,118,Present/Unseen/Left,Unseen,0.9802480153064693,0.9853237603270488
10,119,Present/Unseen/Left,Unseen,0.9866822861761343,0.988830250577323
10,120,Present/Unseen/Right,Unseen,0.964178329363651,0.8310381893149843
10,121,Present/Unseen/Left,Unseen,0.97120055129274,0.7977265319373796
10,122,Present/Seen/Left,Seen,0.964190786875369,0.7214603689939157
10,125,Present/Seen/Right,Seen,0.9855970071061778,0.9660380639505409
10,127,Present/Unseen/Left,Unseen,0.9854850691854028,0.8994147491953312
10,129,Present/Unseen/Right,Unseen,0.9789591274232782,0.8257784539395729
10,130,Present/Unseen/Right,Unseen,0.9853282657511764,0.8967848815076255
10,131,Present/Seen/Left,Seen,0.9868877012748883,0.9309731614477988
10,133,Present/Unseen/Left,Unseen,0.987207107957624,1.014252304891811
10,135,Present/Seen/Right,Seen,0.9852254479552084,0.9222069358221134
10,136,Present/Seen/Right,Seen,0.9856231087757351,0.8880186558819398
10,137,Present/Seen/Left,Seen,0.9870849303115408,0.9108108425087225
10,139,Present/Seen/Left,Seen,0.9878590311846961,0.9020446168830367
10,140,Present/Seen/Left,Seen,0.9853809423168559,0.884512165631666
10,142,Present/Seen/Right,Seen,0.9834274683054338,0.8888952784445086
10,143,Present/Unseen/Right,Unseen,0.9787371039008248,0.915193955321565
10,145,Present/Seen/Right,Seen,0.9865937340675697,0.8327914344401216
10,147,Present/Unseen/Left,Unseen,0.9833447991234623,0.8135057380636134
10,148,Present/Seen/Left,Seen,0.9837219487809168,0.7994797770625166
10,149,Present/Seen/Right,Seen,0.9876322886374428,0.77931745812344
10,152,Present/Seen/Left,Seen,0.985424591416454,0.8503238856914924
10,153,Present/Seen/Left,Seen,0.9857911705188326,0.8652264692551577
10,154,Present/Seen/Right,Seen,0.9812910252346477,0.9134407101964278
10,155,Present/Seen/Right,Seen,0.9865653066475041,0.8406810375032384
10,157,Present/Unseen/Left,Unseen,0.9777330732799204,0.852953753379198
10,158,Present/Seen/Right,Seen,0.9845834394023862,0.8722394497557062
10,160,Present/Unseen/Left,Unseen,0.9715530595892495,0.8547069985043353
10,161,Present/Seen/Right,Seen,0.9832020169906719,0.8757459400059806
10,164,Present/Seen/Left,Seen,0.9786143144952997,0.7880836837491255
10,165,Present/Seen/Right,Seen,0.9835278782572963,0.8906485235696457
10,166,Present/Unseen/Left,Unseen,0.9762040035608648,0.8503238856914924
10,167,Present/Seen/Right,Seen,0.9788393011980011,0.8696095820680005
10,169,Present/Seen/Right,Seen,0.9786130120088912,0.9669146865131094
10,171,Present/Unseen/Left,Unseen,0.9794062358741391,0.9099342199461538
10,172,Present/Unseen/Right,Unseen,0.9772493120698279,0.7994797770625166
10,173,Present/Seen/Left,Seen,0.9828962052386553,0.8792524302562544
10,175,Present/Seen/Left,Seen,0.986957886873145,0.8152589831887506
10,177,Present/Seen/Right,Seen,0.9817675225160934,0.8748693174434118
10,178,Present/Seen/Left,Seen,0.9838021900092827,0.8652264692551578
10,179,Present/Unseen/Right,Unseen,0.9791362490843685,0.7942200416871052
10,180,Present/Seen/Left,Seen,0.9459420942365988,0.7845771934988514
10,181,Present/Unseen/Left,Unseen,0.9623985785522109,0.7574018940592262
10,183,Present/Unseen/Right,Unseen,0.9663134783367802,0.811752492938476
10,184,Present/Seen/Right,Seen,0.9652125697032682,0.5969799651091817
10,187,Present/Seen/Right,Seen,0.9618207137310197,0.7100642756805245
10,189,Present/Seen/Left,Seen,0.9733839408859825,0.8117524929384763
10,190,Present/Unseen/Left,Unseen,0.9729134308511468,0.860843356442315
10,191,Present/Seen/Right,Seen,0.9735841697106252,0.7749343453105971
10,192,Present/Seen/Right,Seen,0.9731864677687062,0.8406810375032384
10,193,Present/Unseen/Left,Unseen,0.9769096166242184,0.7591551391843633
10,195,Present/Seen/Right,Seen,0.9626630991584167,0.7723044776228916
10,196,Present/Unseen/Left,Unseen,0.9656248147155566,0.7705512324977545
10,198,Present/Unseen/Left,Unseen,0.9604434816792017,0.7258434818067585
10,201,Present/Unseen/Right,Unseen,0.9701866012553128,0.7977265319373794
10,202,Present/Unseen/Left,Unseen,0.9820585505097509,0.9239601809472504
10,203,Present/Unseen/Right,Unseen,0.978871446433343,0.7749343453105974
10,204,Present/Unseen/Right,Unseen,0.9786530969492138,0.8818822979439601
10,206,Present/Seen/Left,Seen,0.9772063076420269,0.7363629525575811
10,208,Present/Unseen/Right,Unseen,0.9890884857128671,1.0037328341409886
10,209,Present/Unseen/Left,Unseen,0.9830528540899818,0.9002913717578996
10,210,Present/Unseen/Left,Unseen,0.9842955064629683,0.9099342199461534
10,211,Present/Seen/Right,Seen,0.9810502599509042,0.8967848815076255
10,212,Present/Seen/Left,Seen,0.9875462607499891,0.9213303132595448
10,214,Present/Unseen/Right,Unseen,0.9809417236763959,0.9309731614477988
10,216,Present/Unseen/Right,Unseen,0.9844974345532921,0.9721744218885208
10,217,Present/Seen/Right,Seen,0.975355697770442,0.8038628898753593
10,218,Present/Unseen/Left,Unseen,0.9786924969241722,0.7994797770625167
10,219,Present/Seen/Left,Seen,0.9829126548129569,0.8170122283138876
10,223,Present/Seen/Left,Seen,0.9673550296276063,0.7600317617469318
10,224,Present/Seen/Right,Seen,0.982700065580081,0.8713628271931375
10,226,Present/Unseen/Left,Unseen,0.9868069844793087,0.9870770054521861
10,227,Present/Seen/Right,Seen,0.9836491885965597,0.9388627645109159
10,228,Present/Seen/Right,Seen,0.979950059037273,0.8424342826283755
